id,name,terminalName,lat,long,installed,locked,installDate,removalDate,temporary,nbBikes,nbStandardBikes,nbEBikes,nbEmptyDocks,nbDocks
108,"Abbey Orchard Street, Westminster",003429,51.49812559,-0.132102166,true,false,1279107720000,,false,5,4,1,24,29
109,"Soho Square , Soho",001052,51.51563144,-0.132328837,true,false,1279108320000,,false,45,45,0,12,57
110,"Wellington Road, St. John's Wood",001055,51.53304322,-0.172528678,true,false,1279108920000,,false,10,9,1,7,17
111,"Park Lane , Hyde Park",001037,51.5100172,-0.157275636,true,false,1279109160000,,false,3,3,0,25,28
112,"Stonecutter Street, Holborn",001061,51.51580998,-0.105270275,true,false,1279115460000,,false,0,0,0,21,21
113,"Gloucester Road (Central), South Kensington",003435,51.49646288,-0.183289032,true,false,1279116600000,,false,11,10,1,8,19
114,"Park Road (Baker Street), The Regent's Park",001050,51.52451738,-0.158963647,true,false,1279119900000,,false,4,4,0,18,22
115,"Braham Street, Aldgate",001062,51.51423368,-0.073537654,true,false,1279120680000,,false,2,2,0,32,34
116,"Little Argyll Street, West End",000995,51.51449962,-0.141423695,true,false,1279122360000,,false,1,0,1,20,21
117,"Lollard Street, Vauxhall",000998,51.49288067,-0.114934001,true,false,1279124220000,,false,25,25,0,0,25
118,"Rochester Row, Westminster",003457,51.49582705,-0.13547809,true,false,1279124520000,,false,2,1,1,11,13
119,"Bath Street, St. Luke's",000964,51.52589324,-0.090847761,true,false,1279124760000,,false,18,18,0,0,18
120,"The Guildhall, Guildhall",001044,51.51573534,-0.093080779,true,false,1279187040000,,false,1,1,0,16,17
121,"Baker Street, Marylebone",001086,51.51891348,-0.156166631,true,false,1279189200000,,false,1,0,1,21,22
122,"Norton Folgate, Liverpool Street",001068,51.52111369,-0.078869751,true,false,1279190040000,,false,3,3,0,20,23
123,"St. John Street, Finsbury",000992,51.52836014,-0.104724625,true,false,1279191300000,,false,17,17,0,1,18
124,"Eaton Square, Belgravia",001069,51.49654462,-0.150905245,true,false,1279191540000,,false,14,14,0,6,20
125,"Borough High Street, The Borough",000996,51.50069491,-0.094524319,true,false,1279192200000,,false,13,13,0,8,21
126,"Museum of London, Barbican",001043,51.51782144,-0.096496865,true,false,1279193340000,,false,22,22,0,30,52
127,"Wood Street, Guildhall",001063,51.51700801,-0.09388536,true,false,1279193520000,,false,1,1,0,16,17
128,"Emperor's Gate, South Kensington",001116,51.49536226,-0.185296516,true,false,1279194060000,,false,17,17,0,5,22
129,"Golden Square, Soho",003451,51.5118973,-0.137043852,true,false,1279198500000,,false,14,14,0,4,18
130,"Tower Gardens , Tower",001071,51.50950627,-0.075459482,true,false,1279198800000,,false,11,11,0,13,24
131,"Eversholt Street , Camden Town",001005,51.53300545,-0.136792671,true,false,1279199280000,,false,7,7,0,9,16
133,"Derry Street, Kensington",003436,51.50136494,-0.191462381,true,false,1279200240000,,false,11,11,0,7,18
134,"Wapping High Street, Wapping",001039,51.504904,-0.06797,true,false,1279200900000,,false,12,11,1,8,20
135,"Clerkenwell Green, Clerkenwell",001053,51.52326004,-0.104708922,true,false,1279201080000,,false,17,17,0,4,21
136,"Queen Victoria Street, St. Paul's",001048,51.51196176,-0.097441687,true,false,1279201200000,,false,10,10,0,22,32
138,"Green Street, Mayfair",003464,51.51227622,-0.157436972,true,false,1279205220000,,false,3,3,0,16,19
139,"Lambeth Road, Vauxhall",001078,51.49488108,-0.117974901,true,false,1279205460000,,false,15,15,0,3,18
140,"Finsbury Square , Moorgate",001056,51.52096262,-0.085634242,true,false,1279205580000,,false,18,18,0,15,33
141,"Chapel Place, Marylebone",001003,51.51530805,-0.147203711,true,false,1279210980000,,false,11,11,0,18,29
142,"West Cromwell Road, Earl's Court",001001,51.49372451,-0.198286569,true,false,1279211220000,,false,14,14,0,10,24
